City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
331,puerto madryn,5,AR,1562717968,56,-42.77,-65.04,50.45,4.54
332,wewak,41,PG,1562718260,76,-3.55,143.63,80.33,4.23
333,belaya gora,5,RU,1562718260,42,68.54,146.19,78.35,1.25
334,nogliki,8,RU,1562718260,75,51.8,143.14,53.87,12.01
335,bonavista,99,CA,1562718260,69,48.65,-53.11,60.01,11.99
336,batemans bay,0,AU,1562718261,61,-35.71,150.18,55.99,3.0
337,ypsonas,40,CY,1562718261,94,34.69,32.96,78.01,2.24
338,torrevieja,0,ES,1562718261,78,37.98,-0.68,75.99,4.7
339,panzhihua,100,CN,1562718261,98,26.59,101.72,63.23,1.81
340,lucapa,7,AO,1562718262,27,-8.42,20.74,60.53,4.16
341,hami,98,CN,1562718262,23,42.84,93.51,83.93,4.76
342,mana,97,NG,1562718262,72,13.03,5.27,79.79,8.34
343,iwaki,75,JP,1562718262,77,37.05,140.89,66.99,6.93
344,bambous virieux,20,MU,1562718263,94,-20.34,57.76,70.0,5.82
345,mpulungu,18,ZM,1562718263,61,-8.77,31.12,62.33,7.07
346,fortuna,90,US,1562718263,77,40.6,-124.16,66.2,10.29
347,isabela,91,PH,1562718264,75,10.2,122.99,81.77,7.02
348,thompson,75,CA,1562718264,44,55.74,-97.86,75.2,3.36
349,flin flon,75,CA,1562718264,31,54.77,-101.88,75.2,4.7
350,kollam,75,IN,1562718049,94,8.88,76.6,77.0,1.12
351,wanaka,100,NZ,1562718265,95,-44.7,169.14,38.75,4.68
352,bo phloi,100,TH,1562718265,88,14.32,99.52,74.21,5.1
353,komsomolsk-na-amure,100,RU,1562718265,66,50.55,137.02,68.63,4.74
354,cap malheureux,20,MU,1562718265,94,-19.98,57.61,70.0,5.82
355,kavaratti,99,IN,1562717971,79,10.57,72.64,83.93,19.33
356,klaksvik,98,FO,1562718266,81,62.23,-6.59,50.0,18.34
357,george town,75,MY,1562718266,88,5.42,100.33,80.6,6.42
358,louiseville,20,CA,1562718266,50,46.26,-72.95,81.0,3.36
